Year,Crash Descriptor,Time,Time Label,Date,Day of Week,Police Report,Lighting Conditions,City,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,DOT Reference Marker Location,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved
2016,Property Damage & Injury Accident,16:06,Night,11-05-2016,Saturday,Y,Daylight,Kansas City,OTHER,STEUBEN,Straight and Level,Clear,No Passing Zone,Dry,,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
2016,Property Damage Accident,23:46,Night,10/30/2016,Sunday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,None,Dry,81I73051098,Not Applicable,Deer,1
2016,Property Damage Accident,12:24,Afternoon,10/27/2016,Thursday,Y,Daylight,Minneapolis,OTHER,JEFFERSON,Straight and Level,Snow,No Passing Zone,Snow/Ice,971P73011003,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
2016,Property Damage Accident,21:05,Night,10/23/2016,Sunday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,11 73051098,Not Applicable,Deer,1
2016,Property Damage Accident,14:00,Afternoon,10/20/2016,Thursday,N,Unknown,Minneapolis,Unknown,JEFFERSON,Unknown,Unknown,Unknown,Unknown,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,18:32,Night,10/20/2016,Thursday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Rain,None,Wet,,Not Applicable,Deer,1
2016,Property Damage Accident,18:15,Night,10/18/2016,Tuesday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Grade,Rain,None,Wet,81I73051164,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
2016,Property Damage Accident,07:15,Morning,10-12-2016,Wednesday,Y,Daylight,Kansas City,OTHER,STEUBEN,Straight and Level,Clear,None,Dry,17 64041334,Not Applicable,Deer,1
2016,Property Damage Accident,17:20,Night,10-11-2016,Tuesday,Y,Daylight,Kansas City,REAR END,STEUBEN,Curve and Grade,Clear,None,Dry,17 64041321,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,09:20,Morning,10-11-2016,Tuesday,Y,Daylight,Kansas City,OTHER,STEUBEN,Straight and Grade,Fog/Smog/Smoke,No Passing Zone,Dry,,Not Applicable,Deer,1
2016,Property Damage Accident,06:24,Morning,10-10-2016,Monday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Clear,None,Dry,81I73051110,Not Applicable,"Animal, Collision With",1
